1	2	3	4	5	6	7	8	9	10	11
2019-04-03	"1,155.67"	"1,115.93"	"1,146.90"	"1,124.70"	"1,149.42"	"1,123.34"	"1,135.80"	3.10	4.32938	1.0000
2019-04-02	"1,152.52"	"1,112.88"	"1,143.80"	"1,121.60"	"1,146.29"	"1,120.24"	"1,132.70"	-3.40	4.34338	1.0000
2019-04-01	"1,155.98"	"1,116.22"	"1,147.20"	"1,125.00"	"1,149.73"	"1,123.63"	"1,136.10"	-1.70	4.34450	1.0000
2019-03-29	"1,157.71"	"1,117.89"	"1,148.90"	"1,126.70"	"1,151.45"	"1,125.33"	"1,137.80"	3.10	4.35150	1.0000
2019-03-28	"1,154.55"	"1,114.85"	"1,145.80"	"1,123.60"	"1,148.31"	"1,122.24"	"1,134.70"	2.60	4.34863	1.0000
2019-03-27	"1,151.91"	"1,112.29"	"1,143.10"	"1,121.10"	"1,145.68"	"1,119.74"	"1,132.10"	-2.80	4.34550	1.0000
2019-03-26	"1,154.76"	"1,115.04"	"1,146.00"	"1,123.80"	"1,148.51"	"1,122.44"	"1,134.90"	5.10	4.33975	1.0000
2019-03-25	"1,149.57"	"1,110.03"	"1,140.80"	"1,118.80"	"1,143.35"	"1,117.44"	"1,129.80"	4.00	4.34888	1.0000
2019-03-22	"1,145.50"	"1,106.10"	"1,136.80"	"1,114.80"	"1,139.30"	"1,113.45"	"1,125.80"	-4.60	4.33550	1.0000
2019-03-21	"1,150.18"	"1,110.62"	"1,141.40"	"1,119.40"	"1,143.96"	"1,118.04"	"1,130.40"	-0.50	4.34063	1.0000
2019-03-20	"1,150.69"	"1,111.11"	"1,141.90"	"1,119.90"	"1,144.47"	"1,118.54"	"1,130.90"	-2.80	4.33675	1.0000
2019-03-19	"1,153.53"	"1,113.87"	"1,144.80"	"1,122.60"	"1,147.30"	"1,121.24"	"1,133.70"	-2.40	4.33775	1.0000
2019-03-18	"1,155.98"	"1,116.22"	"1,147.20"	"1,125.00"	"1,149.73"	"1,123.64"	"1,136.10"	3.40	4.33175	1.0000
2019-03-15	"1,152.52"	"1,112.88"	"1,143.80"	"1,121.60"	"1,146.29"	"1,120.24"	"1,132.70"	1.20	4.33175	1.0000
2019-03-14	"1,151.30"	"1,111.70"	"1,142.50"	"1,120.50"	"1,145.07"	"1,119.14"	"1,131.50"	2.80	4.33375	1.0000
2019-03-13	"1,148.45"	"1,108.95"	"1,139.70"	"1,117.70"	"1,142.24"	"1,116.35"	"1,128.70"	-5.80	4.33863	1.0000
2019-03-12	"1,154.35"	"1,114.65"	"1,145.60"	"1,123.40"	"1,148.11"	"1,122.04"	"1,134.50"	0.50	4.34888	1.0000
2019-03-11	"1,153.84"	"1,114.16"	"1,145.10"	"1,122.90"	"1,147.60"	"1,121.54"	"1,134.00"	5.70	4.34150	1.0000
2019-03-08	"1,148.04"	"1,108.56"	"1,139.30"	"1,117.30"	"1,141.83"	"1,115.94"	"1,128.30"	0.50	4.34275	1.0000
2019-03-07	"1,147.53"	"1,108.07"	"1,138.80"	"1,116.80"	"1,141.33"	"1,115.45"	"1,127.80"	2.00	4.34175	1.0000
2019-03-06	"1,145.50"	"1,106.10"	"1,136.80"	"1,114.80"	"1,139.30"	"1,113.45"	"1,125.80"	0.80	4.33088	1.0000
2019-03-05	"1,144.68"	"1,105.32"	"1,136.00"	"1,114.00"	"1,138.50"	"1,112.65"	"1,125.00"	5.10	4.33300	1.0000
2019-03-04	"1,139.49"	"1,100.31"	"1,130.80"	"1,109.00"	"1,133.33"	"1,107.66"	"1,119.90"	2.10	4.33188	1.0000
2019-02-28	"1,137.36"	"1,098.24"	"1,128.70"	"1,106.90"	"1,131.21"	"1,105.56"	"1,117.80"	-0.50	4.33925	1.0000
2019-02-27	"1,137.87"	"1,098.73"	"1,129.20"	"1,107.40"	"1,131.71"	"1,106.06"	"1,118.30"	-2.50	4.34300	1.0000
2019-02-26	"1,140.41"	"1,101.19"	"1,131.70"	"1,109.90"	"1,134.24"	"1,108.56"	"1,120.80"	-4.90	4.32913	1.0000
2019-02-25	"1,145.39"	"1,106.01"	"1,136.70"	"1,114.70"	"1,139.20"	"1,113.35"	"1,125.70"	1.30	4.33438	1.0000
2019-02-22	"1,144.07"	"1,104.73"	"1,135.40"	"1,113.40"	"1,137.89"	"1,112.05"	"1,124.40"	1.80	4.33988	1.0000
2019-02-21	"1,142.24"	"1,102.96"	"1,133.60"	"1,111.60"	"1,136.07"	"1,110.26"	"1,122.60"	-4.90	4.33113	1.0000
2019-02-20	"1,147.23"	"1,107.77"	"1,138.50"	"1,116.50"	"1,141.03"	"1,115.15"	"1,127.50"	2.80	4.33225	1.0000
2019-02-19	"1,144.38"	"1,105.02"	"1,135.70"	"1,113.70"	"1,138.19"	"1,112.35"	"1,124.70"	-3.00	4.33475	1.0000
